int/id/剧情id	string/chapter/章节名字	int/type/剧情类型	string/dialog/对话	string[]/choiceGoTo/选择转到	string/variable/变量名	string/expression/表达式	int/switchGoTo/判断转到	string/comment/备注
1	Hello World!	0	Hello World!					在游戏开始前，需要设置一串初始化的变量参数。
2	launch	0	[通讯正在接入]					
3		0	[正在建立连接]					
4		0	[正在接收消息]					
5		0	喂喂？					
6		0	这玩意儿能用吗？					
7		0	有谁能收到吗？					
8		1	谁在说话？|我收到了。	whois|Variainfo				
9	whois	0	哎呀呀呀，不好意思。我应该先自我介绍一下的。					谁在说话？
10		0	我只是收到回复太激动了。					
11		0	我叫泰勒。我是，原本是瓦里亚号星际飞船上的一名宇航员。					
12		1	瓦里亚号？|“原本”？出什么事了？	Variainfo|whathappened				
13	Variainfo	0	我们的飞船在个什么卫星上坠毁了，我也不知道具体是在哪儿。					“原本”？出什么事了？
14		0	我进了一个逃生舱，不过我不知道有没有别人也通过逃生舱逃生。					
15		0	我的宇航服上的传感器说这里的大气可供呼吸，这简直是个奇迹。					
16		0	只是，我身上既没吃的也没喝的。逃生舱里有个工具箱，里面都是些最普通的工具。					
17		0	我想办法启用了逃生舱内的便携通讯器，但是——除了走运的你，好像没人收到我发出的信号。					
18		0	我也不知道你是谁，在哪里。					
19		1	你怎么会不知道？|你可以用下地图呀。	dontknow|usemap				
20	dontknow	2			mapsuggest	==1	22	
21		0	不知道，我真不知道。					你怎么会不知道？
22		0	我怎么可能不知道？！我怎么不像那些了不起的宇航员一样，把整个星区地图都背了下来？！					
23		0	因为我是个学生！懂吗？					
24		0	我在一场理科生抽奖活动里中了奖，所以才参加了这次远航。					
25		0	在瓦里亚号上对老鼠和地衣什么的进行零重力实验，懂了吧？					
26		0	我身边必须随时有一名有经验的导师陪同。					
27		0	这么说吧，我的学员手册上从来就没有提过什么紧急迫降的事儿！					
28		1	好了好了，冷静点。|哇喔，放轻松。	calmdown|whoatakeiteasy				
29	calmdown	0	哎，对不起。你也看出来了，我现在是整个人都不好了！					
30		0	我们针对各种情况进行了训练，但是现在的情况绝不是其中之一！					
31		0	不过没事儿。没问题。我只要找到别的生还者就行了，他们会知道怎么处理的。					
32		1	除非……	nosurvivors				
33	nosurvivors	0	要是没有别的生还者了怎么办？					
34		0	要是只有我活着怎么办？					
35		0	噢，天哪，阿雅船长可能已经死了，其他人恐怕也没活下来。科尔比……糟糕！科尔比。					
36		0	要是……要是这里真的只剩我一个人怎么办？					
37		1	放轻松，深呼吸。|想聊聊科尔比吗？	justbreathe|talkColby				
38	justbreathe	0	哎，你说得对。这里的空气能呼吸，干脆直接呼吸吧。					
39		0	科尔比经常这么说：					
40		0	“与其杞人忧天，不如专注当下。”					
41		0	对，就直接呼吸吧。					
42		1	好了，那么你现在在哪儿？|你受伤了吗？	whereareyou|areyouallright				
43	sorryaboutearlier	0	没事儿，这么紧急的状况下，一般人说的话肯定辞不达意。					
44		0	真高兴找到人帮我了。要是没有你，我都不知道该怎么办。					
45		0	好了，先看看哪些是我们能处理的吧。					
46		1	你现在在哪儿？|你受伤了吗？	whereareyou|areyouallright				
47	message received	0	哦，谢天谢地！能联系到人，真是太好啊！					
48		0	我等了好几个钟头了！					
49		1	你是谁？|出了什么事？	whois|whathappened				
50	whathappened	0	我们的飞船在个什么卫星上坠毁了，我也不知道具体是在哪儿。					
51		0	我进了一个逃生舱，不过我不知道有没有别人也通过逃生舱逃生。					
52		0	我的宇航服上的传感器说这里的大气可供呼吸，这简直是个奇迹。					
53		0	只是，我身上既没吃的也没喝的。逃生舱里有个工具箱，里面都是些最普通的工具。					
54		0	我想办法启用了逃生舱内的便携通讯器，但是——除了走运的你，好像没人收到我发出的信号。					
55		0	我也不知道你是谁，在哪里。					
56		1	你还好吗？|你现在在哪？	areyouallright|whereareyou				
57	usemap	3			mapsuggest	=1		
58		0	是啊，你想得倒挺美，就是有个小问题，那就是我，还有我的救生舱，在这里……					
59		0	……可是导航室还在瓦里亚号里面呢。					
60		0	而瓦里亚号呢，从南边那两道袅袅的黑烟来看，至少断成了两截，而且离我可不近。					
61		0	所以，你要理解，“用下地图”可没那么容易。					
62		1	你真的一点头绪都没有？|对不起，你没事儿吧？	dontknow|areyouallright				
63	whoatakeiteasy	0	“放轻松”，说得倒轻巧！					
